Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,0.089511156,0.068508625,0.069299503
100,1.513692379,1.42518115,0.08729586
200,2.938373327,2.788854122,0.086259917
300,4.37155509,4.166028261,0.086923261
400,5.841742039,5.589208603,0.086478931
500,7.295926332,6.953881264,0.086794489
600,8.751111269,8.34755826,0.086472692
700,10.16679096,9.718233109,0.08668983
800,11.64847898,11.15391684,0.086299533
900,13.09466267,12.51908994,0.08605274
1000,14.5268445,13.89626551,0.085937593
1100,15.93552351,15.26143789,0.085959943
1200,17.42021203,16.6946187,0.085519872
1300,18.88389802,18.06979442,0.084974054
1400,20.30557823,19.44746876,0.085304051
1500,21.73926044,20.83314466,0.085208747
1600,23.34096384,22.38784266,0.085150682
1700,24.76814532,23.75601602,0.085029768
1800,26.18032455,25.11718941,0.084982853
1900,27.62600827,26.50186539,0.084922964
2000,29.10119534,27.93554807,0.084878464
4000,57.4167912,55.73307705,0.08494163
6000,85.65087628,83.48260474,0.085285114
8000,113.6734347,111.0421031,0.085363317
10000,141.6589885,138.5610962,0.085579701
12000,170.0215902,166.4221365,0.085469566
14000,198.079653,194.0056398,0.085442071
16000,226.2962358,221.7371671,0.085441797
18000,254.3808022,249.3516734,0.085285811
20000,282.6558928,277.1477051,0.085274684
22000,310.6929529,304.7172067,0.085248715
24000,338.8765318,332.4302282,0.085267308
26000,367.0156052,360.0567362,0.085229272
28000,395.0571659,387.6027293,0.085186156
30000,423.1087279,415.1952364,0.085230892
32000,451.3183103,442.93926,0.08516116
34000,479.3298671,470.4847562,0.085152406
36000,507.4359362,498.1242652,0.085152106
38000,535.7455311,525.9167871,0.085137636
40000,563.8090947,553.5212908,0.085153238
42000,592.0346789,581.2748168,0.085198834
44000,620.0997427,608.8843255,0.08518405
46000,648.4313405,636.753361,0.085137814
48000,676.3688879,664.2428517,0.085188579
50000,704.5459659,691.9728734,0.085209214
